#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>:.{command} / :${command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Address the current / last line.<br><br><small>Exact notation: <code>:.{command} / :${command}</code></small>	nvim native native::command_line context::ex context::ex-range
What does <b>:1,10{command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Address lines 1 through 10.<br><br><small>Exact notation: <code>:1,10{command}</code></small>	nvim native native::command_line context::ex context::ex-range
What does <b>:&#x27; ,&#x27; {command}</b> do in <b>Visual mode or Ex command mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Address the previous Visual line range.<br><br><small>Exact notation: <code>:&#x27;&lt;,&#x27;&gt;{command}</code></small>	nvim native native::command_line context::ex context::ex-range mode::visual
What does <b>:command1 | command2</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Command line/history</small>	Run multiple Ex commands in sequence.<br><br><small>Exact notation: <code>:command1 | command2</code></small>	nvim native native::command_line context::ex
What does <b>q{reg}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Start recording typed commands into a register.<br><br><small>Exact notation: <code>q{reg}</code></small>	nvim native native::macros mode::normal
What does <b>q</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Stop macro recording.<br><br><small>Exact notation: <code>q</code></small>	nvim native native::macros mode::normal context::recording
What does <b>@{reg}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Execute a recorded macro.<br><br><small>Exact notation: <code>@{reg}</code></small>	nvim native native::macros mode::normal
What does <b>@@</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Repeat the most recently executed macro.<br><br><small>Exact notation: <code>@@</code></small>	nvim native native::macros mode::normal
What does <b>{N}@{reg}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Execute a macro N times.<br><br><small>Exact notation: <code>{N}@{reg}</code></small>	nvim native native::macros mode::normal
What does <b>qA</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Append a recording to named register a.<br><br><small>Exact notation: <code>qA</code></small>	nvim native native::macros mode::normal
What does <b>&quot;ap</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Put register a into the buffer for inspection or editing.<br><br><small>Exact notation: <code>&quot;ap</code></small>	nvim native native::macros mode::normal
What does <b>&quot;ay{motion}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Replace register a with corrected macro text.<br><br><small>Exact notation: <code>&quot;ay{motion}</code></small>	nvim native native::macros mode::normal
What does <b>@:</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Macros</small>	Repeat the most recently executed Ex command.<br><br><small>Exact notation: <code>@:</code></small>	nvim native native::macros mode::normal
What does <b>:set spell!</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Toggle spell checking in the current window.<br><br><small>Exact notation: <code>:set spell!</code></small>	nvim native native::spelling context::ex
What does <b>:set spelllang=en_us</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Choose spell-check languages.<br><br><small>Exact notation: <code>:set spelllang=en_us</code></small>	nvim native native::spelling context::ex
What does <b>]s / [s</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Jump to the next / previous spelling issue.<br><br><small>Exact notation: <code>]s / [s</code></small>	nvim native native::spelling mode::normal
What does <b>]S / [S</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Jump to the next / previous definitely bad word.<br><br><small>Exact notation: <code>]S / [S</code></small>	nvim native native::spelling mode::normal
What does <b>z=</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Show correction suggestions for the word under the cursor.<br><br><small>Exact notation: <code>z=</code></small>	nvim native native::spelling mode::normal
What does <b>1z=</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Apply the first spelling suggestion immediately.<br><br><small>Exact notation: <code>1z=</code></small>	nvim native native::spelling mode::normal
What does <b>zg / zG</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Mark the word good persistently / for this session.<br><br><small>Exact notation: <code>zg / zG</code></small>	nvim native native::spelling mode::normal
What does <b>zw / zW</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Mark the word wrong persistently / for this session.<br><br><small>Exact notation: <code>zw / zW</code></small>	nvim native native::spelling mode::normal
What does <b>zug / zuw</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Spelling</small>	Undo the latest zg / zw addition.<br><br><small>Exact notation: <code>zug / zuw</code></small>	nvim native native::spelling mode::normal
What does <b>:terminal [command]</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Open an interactive shell or command in a terminal buffer.<br><br><small>Exact notation: <code>:terminal [command]</code></small>	nvim native native::terminal context::ex context::neovim
What does <b>Ctrl+\ Ctrl+N</b> do in <b>Terminal-job mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Return to Terminal-Normal mode.<br><br><small>Exact notation: <code>&lt;C-\&gt;&lt;C-n&gt;</code></small>	nvim native native::terminal mode::terminal context::terminal-job
What does <b>i / a</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Return to terminal-job input mode.<br><br><small>Exact notation: <code>i / a</code></small>	nvim native native::terminal mode::normal context::terminal-normal
What does <b>:split | terminal</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Open an interactive terminal in a horizontal split.<br><br><small>Exact notation: <code>:split | terminal</code></small>	nvim native native::terminal context::ex
What does <b>:vsplit | terminal</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Open an interactive terminal in a vertical split.<br><br><small>Exact notation: <code>:vsplit | terminal</code></small>	nvim native native::terminal context::ex
What does <b>:!{command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Run one shell command and return; this is not an interactive terminal.<br><br><small>Exact notation: <code>:!{command}</code></small>	nvim native native::terminal context::ex
What does <b>:read !{command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Insert command output into the buffer.<br><br><small>Exact notation: <code>:read !{command}</code></small>	nvim native native::terminal context::ex
What does <b>:{range}!{command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Filter addressed lines through a command.<br><br><small>Exact notation: <code>:{range}!{command}</code></small>	nvim native native::terminal context::ex
What does <b>:write !{command}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Terminal</small>	Send buffer text to a command&#x27;s standard input.<br><br><small>Exact notation: <code>:write !{command}</code></small>	nvim native native::terminal context::ex
What does <b>:set {option}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Enable or assign an option.<br><br><small>Exact notation: <code>:set {option}</code></small>	nvim native native::ex context::ex
What does <b>:set {option}?</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Show an option&#x27;s current value.<br><br><small>Exact notation: <code>:set {option}?</code></small>	nvim native native::ex context::ex
What does <b>:set no{option}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Disable a boolean option.<br><br><small>Exact notation: <code>:set no{option}</code></small>	nvim native native::ex context::ex
What does <b>:set {option}!</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Toggle a boolean option.<br><br><small>Exact notation: <code>:set {option}!</code></small>	nvim native native::ex context::ex
What does <b>:set {option}&amp;</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Reset an option to its default.<br><br><small>Exact notation: <code>:set {option}&amp;</code></small>	nvim native native::ex context::ex
What does <b>:setlocal {option}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Set an option only for the current buffer or window.<br><br><small>Exact notation: <code>:setlocal {option}</code></small>	nvim native native::ex context::ex
What does <b>:setglobal {option}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Set the global default for future local values.<br><br><small>Exact notation: <code>:setglobal {option}</code></small>	nvim native native::ex context::ex
What does <b>:source %</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Source the current Vimscript or Lua config file.<br><br><small>Exact notation: <code>:source %</code></small>	nvim native native::ex context::ex
What does <b>:luafile %</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Execute the current file as Lua.<br><br><small>Exact notation: <code>:luafile %</code></small>	nvim native native::ex context::ex context::neovim
What does <b>:lua =expression</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Evaluate and print a Lua expression.<br><br><small>Exact notation: <code>:lua =expression</code></small>	nvim native native::ex context::ex context::neovim
What does <b>:messages</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Show recent messages and errors.<br><br><small>Exact notation: <code>:messages</code></small>	nvim native native::ex context::ex
What does <b>:map / :nmap</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	List general / Normal-mode mappings.<br><br><small>Exact notation: <code>:map / :nmap</code></small>	nvim native native::ex context::ex
What does <b>:verbose nmap {lhs}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Show a mapping and where it was last defined.<br><br><small>Exact notation: <code>:verbose nmap {lhs}</code></small>	nvim native native::ex context::ex
What does <b>:autocmd</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	List active autocommands.<br><br><small>Exact notation: <code>:autocmd</code></small>	nvim native native::ex context::ex
What does <b>:verbose autocmd {event}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Show autocommands and their defining locations.<br><br><small>Exact notation: <code>:verbose autocmd {event}</code></small>	nvim native native::ex context::ex
What does <b>:checktime</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Check whether files changed outside the editor.<br><br><small>Exact notation: <code>:checktime</code></small>	nvim native native::ex context::ex
What does <b>:{range}delete [reg]</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Delete addressed lines, optionally into a register.<br><br><small>Exact notation: <code>:{range}delete [reg]</code></small>	nvim native native::ex context::ex
What does <b>:{range}yank [reg]</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Yank addressed lines, optionally into a register.<br><br><small>Exact notation: <code>:{range}yank [reg]</code></small>	nvim native native::ex context::ex
What does <b>:{range}copy {address}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Copy addressed lines after another line.<br><br><small>Exact notation: <code>:{range}copy {address}</code></small>	nvim native native::ex context::ex
What does <b>:{range}move {address}</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Move addressed lines after another line.<br><br><small>Exact notation: <code>:{range}move {address}</code></small>	nvim native native::ex context::ex
What does <b>:{range}join</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Join addressed lines.<br><br><small>Exact notation: <code>:{range}join</code></small>	nvim native native::ex context::ex
What does <b>:{range}sort</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Useful Ex</small>	Sort addressed lines.<br><br><small>Exact notation: <code>:{range}sort</code></small>	nvim native native::ex context::ex
